timestamp,open,high,low,close,volume
2023-05-10,0.07305,0.07466,0.07013,0.07307,1137219283
2023-05-11,0.07307,0.07313,0.06888,0.07189,820768577
2023-05-12,0.07189,0.0727,0.0693,0.07232,961212963
2023-05-13,0.07232,0.07237,0.07124,0.07163,213382072
2023-05-14,0.07163,0.07266,0.07102,0.07191,218879706
2023-05-15,0.07191,0.07362,0.07082,0.07186,468628089
2023-05-16,0.07186,0.0732,0.07085,0.07269,412800221
2023-05-17,0.07269,0.07543,0.07224,0.0748,779418732
2023-05-18,0.0748,0.07488,0.07157,0.0734,629060618
2023-05-19,0.0734,0.07403,0.07296,0.07344,241509288
2023-05-20,0.07344,0.07385,0.07302,0.07358,146763996
2023-05-21,0.07358,0.07397,0.07186,0.07205,246399640
2023-05-22,0.07205,0.07399,0.07062,0.0729,421966482
2023-05-23,0.0729,0.07393,0.07241,0.07284,287881268
2023-05-24,0.07284,0.07286,0.06919,0.0706,675437537
2023-05-25,0.0706,0.0711,0.06842,0.07086,375616990
2023-05-26,0.07086,0.07133,0.0703,0.07095,245492084
2023-05-27,0.07095,0.07339,0.0706,0.07255,247007588
2023-05-28,0.07255,0.07395,0.07182,0.0735,387504906
2023-05-29,0.0735,0.07402,0.07257,0.07312,261458096
2023-05-30,0.07312,0.07345,0.07184,0.07228,345188986
2023-05-31,0.07228,0.07264,0.0704,0.07161,342298252
2023-06-01,0.07161,0.07217,0.07061,0.07139,254046301
2023-06-02,0.07139,0.07327,0.07084,0.07256,295506932
2023-06-03,0.07256,0.07295,0.07214,0.07268,154831980
2023-06-04,0.07268,0.07337,0.07227,0.07247,178976133
2023-06-05,0.07247,0.07267,0.06261,0.0664,1329616599
2023-06-06,0.0664,0.07196,0.06576,0.07022,1092204384
2023-06-07,0.07022,0.07028,0.0666,0.06725,467640164
2023-06-08,0.06725,0.06847,0.06692,0.0679,233155853
2023-06-09,0.0679,0.07119,0.06723,0.06945,531680256
2023-06-10,0.06945,0.07197,0.05258,0.06173,2258964079
2023-06-11,0.06173,0.06289,0.06086,0.06148,514681517
2023-06-12,0.06148,0.06167,0.05966,0.0614,411172510
2023-06-13,0.0614,0.06281,0.06033,0.06172,470169607
2023-06-14,0.06172,0.06216,0.05804,0.06033,726363519
